timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.15_08.16.08,4.389294,50.822142,3,ixelle_3
2025.12.15_08.16.09,4.389259,50.822186,3,ixelle_3
2025.12.15_08.16.12,4.389259,50.822186,3,ixelle_3
2025.12.15_08.16.16,4.389136,50.822133,3,ixelle_3
2025.12.15_08.16.19,4.389136,50.822133,3,ixelle_3
2025.12.15_08.16.23,4.389011,50.822071,3,ixelle_3
2025.12.15_08.16.25,4.389011,50.822071,3,ixelle_3
2025.12.15_08.16.30,4.388896,50.822005,3,ixelle_3
2025.12.15_08.16.32,4.388896,50.822005,3,ixelle_3
2025.12.15_08.17.33,4.388776,50.82195,3,ixelle_3
2025.12.15_08.17.40,4.388644,50.821904,3,ixelle_3
2025.12.15_08.17.46,4.388517,50.821859,3,ixelle_3
2025.12.15_08.17.52,4.388391,50.821803,3,ixelle_3
2025.12.15_08.17.58,4.388275,50.821747,3,ixelle_3
2025.12.15_08.18.05,4.388157,50.821688,3,ixelle_3
2025.12.15_08.18.11,4.388042,50.82163,3,ixelle_3
2025.12.15_08.18.17,4.387924,50.821575,3,ixelle_3
2025.12.15_08.18.24,4.387798,50.821528,3,ixelle_3
2025.12.15_08.18.36,4.38765,50.821541,5,ixelle_3
2025.12.15_08.18.45,4.387498,50.821519,3,ixelle_3
2025.12.15_08.18.52,4.387358,50.821471,3,ixelle_3
2025.12.15_08.18.59,4.387221,50.821413,3,ixelle_3
2025.12.15_08.19.05,4.3871,50.821351,3,ixelle_3
2025.12.15_08.19.11,4.386965,50.821307,3,ixelle_3
2025.12.15_08.19.18,4.386837,50.821252,3,ixelle_3
2025.12.15_08.19.25,4.386704,50.82121,3,ixelle_3
2025.12.15_08.19.30,4.386694,50.821103,3,ixelle_3
2025.12.15_08.19.34,4.386771,50.821003,3,ixelle_3
2025.12.15_08.19.38,4.386846,50.820918,3,ixelle_3
2025.12.15_08.19.43,4.386948,50.820849,3,ixelle_3
2025.12.15_08.19.50,4.38703,50.820763,3,ixelle_3
2025.12.15_08.19.57,4.387085,50.820676,3,ixelle_3
2025.12.15_08.20.04,4.387191,50.820613,3,ixelle_3
2025.12.15_08.24.17,4.390722,50.82029,3,ixelle_3
2025.12.15_08.24.21,4.390641,50.820191,3,ixelle_3
2025.12.15_08.24.28,4.39051,50.820132,6,ixelle_3
2025.12.15_08.24.33,4.390347,50.820085,6,ixelle_3
2025.12.15_08.24.37,4.39022,50.820039,5,ixelle_3
2025.12.15_08.24.42,4.390109,50.819974,4,ixelle_3
2025.12.15_08.24.48,4.390018,50.819899,3,ixelle_3
2025.12.15_08.24.55,4.389913,50.819832,3,ixelle_3
2025.12.15_08.25.02,4.389791,50.819782,3,ixelle_3
2025.12.15_08.25.08,4.389653,50.819759,3,ixelle_3
2025.12.15_08.25.14,4.389508,50.819748,3,ixelle_3
2025.12.15_08.25.33,4.389268,50.819639,3,ixelle_3
2025.12.15_08.25.34,4.389268,50.819639,3,ixelle_3
