timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.14_10.40.58,5.343197,50.210357,3,waha_3
2025.12.14_10.40.59,5.343195,50.210357,3,waha_3
2025.12.14_10.40.59,5.343195,50.210357,3,waha_3
2025.12.14_10.41.05,5.343195,50.210357,3,waha_3
2025.12.14_10.41.08,5.343318,50.210301,3,waha_3
2025.12.14_10.41.12,5.343318,50.210301,3,waha_3
2025.12.14_10.41.15,5.343406,50.210229,3,waha_3
2025.12.14_10.41.18,5.343406,50.210229,3,waha_3
2025.12.14_10.41.22,5.343479,50.210144,3,waha_3
2025.12.14_10.41.25,5.343479,50.210144,3,waha_3
2025.12.14_10.41.29,5.343559,50.210067,3,waha_3
2025.12.14_10.41.31,5.343559,50.210067,3,waha_3
2025.12.14_10.41.36,5.34364,50.209976,3,waha_3
2025.12.14_10.41.42,5.343708,50.209896,3,waha_3
2025.12.14_10.41.49,5.343788,50.209814,3,waha_3
2025.12.14_10.42.01,5.343857,50.209732,3,waha_3
2025.12.14_10.42.13,5.343932,50.209643,3,waha_3
2025.12.14_10.42.21,5.343982,50.209554,3,waha_3
2025.12.14_10.42.29,5.344037,50.209464,3,waha_3
2025.12.14_10.42.36,5.3441,50.209375,3,waha_3
2025.12.14_10.42.43,5.344112,50.209271,3,waha_3
2025.12.14_10.42.49,5.344104,50.209178,3,waha_3
2025.12.14_10.42.56,5.344086,50.209083,3,waha_3
2025.12.14_10.43.04,5.344037,50.208987,3,waha_3
2025.12.14_10.43.11,5.343999,50.208887,3,waha_3
2025.12.14_10.43.17,5.343963,50.2088,3,waha_3
2025.12.14_10.43.24,5.343907,50.208713,3,waha_3
2025.12.14_10.43.31,5.343822,50.20863,3,waha_3
2025.12.14_10.43.38,5.343749,50.208546,3,waha_3
2025.12.14_10.43.45,5.343683,50.208459,3,waha_3
2025.12.14_10.43.52,5.343624,50.20837,3,waha_3
2025.12.14_10.43.59,5.343557,50.208286,3,waha_3
2025.12.14_10.44.06,5.343524,50.208197,3,waha_3
2025.12.14_10.44.14,5.343511,50.208095,3,waha_3
2025.12.14_10.44.20,5.343448,50.208009,3,waha_3
2025.12.14_10.44.27,5.343434,50.207914,3,waha_3
2025.12.14_10.44.42,5.34344,50.207636,3,waha_3
2025.12.14_10.44.50,5.343295,50.207657,3,waha_3
2025.12.14_10.44.58,5.343153,50.207685,3,waha_3
2025.12.14_10.45.06,5.342996,50.207712,3,waha_3
2025.12.14_10.45.12,5.342851,50.207725,3,waha_3
2025.12.14_10.45.19,5.3427,50.207702,3,waha_3
2025.12.14_10.45.26,5.342586,50.207648,3,waha_3
2025.12.14_10.45.34,5.34245,50.207597,3,waha_3
2025.12.14_10.45.41,5.342323,50.207543,3,waha_3
2025.12.14_10.45.48,5.342196,50.207482,3,waha_3
2025.12.14_10.45.54,5.342078,50.207427,3,waha_3
2025.12.14_10.46.01,5.341949,50.207367,3,waha_3
2025.12.14_10.46.08,5.341824,50.20731,3,waha_3
2025.12.14_10.46.15,5.341701,50.207249,3,waha_3
2025.12.14_10.46.22,5.341577,50.207185,3,waha_3
2025.12.14_10.46.29,5.341454,50.207125,3,waha_3
2025.12.14_10.46.36,5.341335,50.207077,3,waha_3
2025.12.14_10.46.43,5.341201,50.207033,3,waha_3
2025.12.14_10.46.50,5.34105,50.207021,3,waha_3
2025.12.14_10.46.57,5.340905,50.206983,3,waha_3
2025.12.14_10.47.04,5.340754,50.20695,3,waha_3
2025.12.14_10.47.11,5.340598,50.206932,3,waha_3
2025.12.14_10.49.17,5.338777,50.207513,3,waha_3
2025.12.14_10.49.24,5.338688,50.207588,3,waha_3
2025.12.14_10.49.31,5.338598,50.207661,3,waha_3
2025.12.14_10.49.38,5.338511,50.207732,3,waha_3
2025.12.14_10.49.45,5.338422,50.207815,3,waha_3
2025.12.14_10.49.52,5.338339,50.207889,3,waha_3
2025.12.14_10.49.59,5.338249,50.207976,3,waha_3
2025.12.14_10.50.06,5.338158,50.208059,3,waha_3
2025.12.14_10.50.13,5.338083,50.208149,3,waha_3
2025.12.14_10.50.19,5.337999,50.208225,3,waha_3
2025.12.14_10.50.25,5.337918,50.208307,3,waha_3
2025.12.14_10.50.32,5.337822,50.208388,3,waha_3
2025.12.14_10.50.39,5.337715,50.208451,3,waha_3
2025.12.14_10.50.46,5.337616,50.208516,3,waha_3
2025.12.14_10.50.53,5.337498,50.208574,3,waha_3
2025.12.14_10.51.00,5.33738,50.208641,3,waha_3
2025.12.14_10.51.07,5.337268,50.208711,3,waha_3
2025.12.14_10.51.14,5.337158,50.208772,3,waha_3
2025.12.14_10.51.22,5.337027,50.208831,3,waha_3
2025.12.14_10.51.29,5.336922,50.208897,3,waha_3
2025.12.14_10.51.35,5.336922,50.208897,3,waha_3
