location,session_number,waypoint_id,waypoint_name,theoretical_latitude,theoretical_longitude,measured_latitude,measured_longitude,timestamp,cloud_coverage
ixelle,1,1,start,50.82216033185046,4.389288330821293,50.8222,4.389262,2025.12.08_08.24.01,2
ixelle,1,2,photo_1,50.82147161423896,4.387699589801547,50.821598400000006,4.3878504000000005,2025.12.08_08.26.01,2
ixelle,1,3,photo_2,50.82056436353367,4.387252433474318,50.8205563,4.387306400000001,2025.12.08_08.27.42,2
ixelle,1,4,photo_3,50.81966300181454,4.389223451955869,50.819645300000005,4.3892198,2025.12.08_08.34.03,2
ixelle,1,5,end,50.81966300181454,4.389223451955869,50.819607,4.389306,2025.12.08_08.34.07,2
ixelle,2,1,start,50.82216033185046,4.389288330821293,50.822232,4.389273,2025.12.09_08.27.15,2
ixelle,2,2,photo_1,50.82147161423896,4.387699589801547,50.82145133,4.38777559,2025.12.09_08.30.17,2
ixelle,2,3,photo_2,50.82056436353367,4.387252433474318,50.820549670000005,4.38723575,2025.12.09_08.32.53,2
ixelle,2,4,photo_3,50.81966300181454,4.389223451955869,50.819627000000004,4.389331540000001,2025.12.09_08.38.19,2
ixelle,2,5,end,50.81966300181454,4.389223451955869,50.819677,4.389485,2025.12.09_08.38.23,2
ixelle,3,1,start,50.82216033185046,4.389288330821293,50.822142,4.389294,2025.12.15_08.16.08,3
ixelle,3,2,photo_1,50.82147161423896,4.387699589801547,50.8215081,4.3877191,2025.12.15_08.18.32,3
ixelle,3,3,photo_2,50.82056436353367,4.387252433474318,50.8206039,4.387186600000001,2025.12.15_08.20.12,3
ixelle,3,4,photo_3,50.81966300181454,4.389223451955869,50.8197301,4.389340600000001,2025.12.15_08.25.30,3
ixelle,3,5,end,50.81966300181454,4.389223451955869,50.819639,4.389268,2025.12.15_08.25.34,3
ixelle,4,1,start,50.82216033185046,4.389288330821293,50.822193,4.389296,2025.12.15_18.07.54,2
ixelle,4,2,photo_1,50.82147161423896,4.387699589801547,50.8214686,4.387676900000001,2025.12.15_18.10.08,2
ixelle,4,3,photo_2,50.82056436353367,4.387252433474318,50.8206781,4.3870898,2025.12.15_18.11.44,2
ixelle,4,4,photo_3,50.81966300181454,4.389223451955869,50.819678,4.3892296,2025.12.15_18.16.50,2
ixelle,4,5,end,50.81966300181454,4.389223451955869,50.819692,4.389265,2025.12.15_18.16.53,2
ixelle,5,1,start,50.82216033185046,4.389288330821293,50.822172,4.389252,2025.12.16_08.23.40,3
ixelle,5,2,photo_1,50.82147161423896,4.387699589801547,50.821491300000005,4.3877828,2025.12.16_08.25.04,3
ixelle,5,3,photo_2,50.82056436353367,4.387252433474318,50.8206022,4.3870979000000005,2025.12.16_08.26.46,3
ixelle,5,4,photo_3,50.81966300181454,4.389223451955869,50.8196869,4.3892454,2025.12.16_08.32.05,3
ixelle,5,5,end,50.81966300181454,4.389223451955869,50.81964,4.389309,2025.12.16_08.32.08,3
lln,1,1,start,50.668497376445664,4.621907879644158,50.668519,4.621878,2025.12.12_12.44.15,4
lln,1,2,photo_1,50.66782743248668,4.623990246719624,50.6678624,4.623956700000001,2025.12.12_12.46.52,4
lln,1,3,photo_2,50.66808413056815,4.618576928513229,50.6680967,4.618565,2025.12.12_12.51.35,4
