Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,
2025.12.16_08.23.40,4.389252,50.822172,0,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-85,-11,1.0,-,-51,2850,0,0,435,124,124,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,LOG START,,,,18,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-67,-11,,,4G,,,,435,1300,-81,-10,,,4G,,,,436,6300,-82,-19,,,4G,,,,437,6300,-83,-20,,,4G,,,,97,2850,-94,-20,,,4G,,,,436,2850,-97,-20,,,4G,,,,440,1300,-101,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.41,4.389274,50.822202,0,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-83,-11,1.0,-,-51,2850,0,0,435,128,128,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,,,,,18,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-71,-10,,,4G,,,,435,1300,-78,-12,,,4G,,,,437,6300,-80,-20,,,4G,,,,436,6300,-83,-20,,,4G,,,,440,1300,-86,-20,,,4G,,,,436,2850,-94,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.45,4.389274,50.822202,0,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-86,-14,1.0,-,-51,2850,0,0,435,128,128,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,PERIODIC,,,,24,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-77,-11,,,4G,,,,435,1300,-82,-11,,,4G,,,,437,6300,-87,-18,,,4G,,,,436,6300,-88,-19,,,4G,,,,436,1300,-93,-20,,,4G,,,,437,1300,-93,-20,,,4G,,,,288,1300,-93,-20,,,4G,,,,440,1300,-95,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.48,4.389147,50.822148,5,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-86,-13,1.0,-,-51,2850,0,0,435,128,128,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,,,,,26,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-73,-11,,,4G,,,,436,6300,-83,-20,,,4G,,,,437,6300,-83,-20,,,4G,,,,435,1300,-84,-8,,,4G,,,,288,1300,-95,-19,,,4G,,,,436,1300,-97,-20,,,4G,,,,437,1300,-97,-17,,,4G,,,,440,1300,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.52,4.389147,50.822148,5,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-89,-11,1.0,-,-51,2850,0,0,435,128,128,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,PERIODIC,,,,30,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-76,-10,,,4G,,,,437,6300,-85,-19,,,4G,,,,435,1300,-87,-12,,,4G,,,,436,6300,-88,-20,,,4G,,,,437,1300,-94,-20,,,4G,,,,436,1300,-95,-20,,,4G,,,,288,1300,-96,-20,,,4G,,,,437,2850,-106,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.54,4.389004,50.822093,6,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-89,-11,1.0,-,-51,2850,0,0,435,129,129,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,,,,,31,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-76,-10,,,4G,,,,437,6300,-85,-19,,,4G,,,,435,1300,-87,-12,,,4G,,,,436,6300,-88,-20,,,4G,,,,437,1300,-94,-20,,,4G,,,,436,1300,-95,-20,,,4G,,,,288,1300,-96,-20,,,4G,,,,437,2850,-106,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.58,4.388881,50.822036,8,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-84,-9,1.0,-,-51,2850,0,0,435,129,129,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,,,,,35,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-75,-11,,,4G,,,,437,6300,-80,-15,,,4G,,,,435,1300,-84,-10,,,4G,,,,386,6300,-85,-20,,,4G,,,,436,6300,-86,-20,,,4G,,,,437,1300,-98,-20,,,4G,,,,437,2850,-99,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.23.58,4.388881,50.822036,8,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-87,-11,1.0,-,-51,2850,0,0,435,129,129,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,PERIODIC,,,,36,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,435,6300,-73,-12,,,4G,,,,437,6300,-77,-15,,,4G,,,,436,6300,-83,-20,,,4G,,,,435,1300,-83,-8,,,4G,,,,386,6300,-84,-20,,,4G,,,,437,1300,-92,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.24.02,4.388793,50.821965,7,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-82,-12,1.0,-,-51,2850,0,0,435,129,129,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,,,,,39,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,437,6300,-74,-9,,,4G,,,,435,6300,-76,-11,,,4G,,,,435,1300,-81,-12,,,4G,,,,386,6300,-85,-20,,,4G,,,,436,6300,-89,-20,,,4G,,,,437,1300,-91,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.16_08.24.05,4.388793,50.821965,7,Proximus,20604,206040212400141,,401422,141,2124,4G,LTE,-85,-15,1.0,-,-51,2850,0,0,435,129,129,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.78.221.152,1,PERIODIC,,,,42,8D,6200E,84C,102764173,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L7,,,,4G,,,,437,6300,-64,-12,,,4G,,,,435,6300,-67,-11,,,4G,,,,386,6300,-73,-20,,,4G,,,,435,1300,-73,-14,,,4G,,,,436,6300,-76,-20,,,4G,,,,437,1300,-81,-14,,,4G,,,,437,2850,-85,-15,,,4G,,,,61,2850,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
